iter	Passed	Remaining
0	1	158
1	2	140
2	4	134
3	5	123
4	6	122
5	7	118
6	8	115
7	10	119
8	11	116
9	12	114
10	13	112
11	15	110
12	16	108
13	17	106
14	18	105
15	19	103
16	21	102
17	22	101
18	23	99
19	24	98
20	25	97
21	27	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	76
37	46	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	67
43	52	66
44	53	65
45	54	64
46	55	62
47	57	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	64	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	118	0
