iter	Passed	Remaining
0	140	140091
1	141	70662
2	144	48114
3	146	36589
4	148	29532
5	149	24827
6	151	21461
7	152	18942
8	154	16969
9	155	15393
10	156	14105
11	159	13143
12	162	12301
13	212	14978
14	214	14078
15	215	13266
16	217	12578
17	219	11949
18	220	11382
19	228	11183
20	230	10722
21	231	10297
22	233	9900
23	234	9545
24	236	9222
25	242	9095
26	245	8830
27	249	8657
28	256	8576
29	258	8342
30	259	8106
31	260	7883
32	327	9590
33	329	9369
34	331	9132
35	333	8927
36	338	8809
37	341	8654
38	343	8469
39	345	8287
40	346	8114
41	348	7958
42	351	7821
43	353	7684
44	355	7541
45	357	7414
46	359	7279
47	360	7152
48	375	7283
49	378	7191
50	387	7204
51	388	7084
52	390	6970
53	392	6869
54	393	6762
55	401	6764
56	402	6660
57	403	6560
58	405	6463
59	407	6386
60	409	6304
61	419	6350
62	421	6268
63	423	6193
64	424	6109
65	426	6030
66	433	6036
67	434	5958
68	436	5887
69	438	5820
70	439	5749
71	440	5679
72	442	5614
73	447	5595
74	448	5535
75	450	5475
76	454	5453
77	456	5395
78	464	5410
79	466	5361
80	468	5313
81	470	5266
82	471	5209
83	473	5165
84	480	5172
85	484	5145
86	485	5099
87	488	5062
88	497	5092
89	499	5045
90	500	4999
91	501	4953
92	503	4910
93	508	4901
94	510	4867
95	512	4828
96	514	4785
97	515	4744
98	516	4703
99	518	4665
100	526	4683
101	527	4646
102	529	4606
103	530	4567
104	531	4530
105	533	4496
106	534	4460
107	541	4471
108	543	4441
109	545	4413
110	547	4383
111	549	4352
112	555	4363
113	557	4333
114	558	4300
115	559	4267
116	560	4233
117	562	4201
118	563	4169
119	565	4145
120	567	4123
121	568	4092
122	570	4066
123	571	4037
124	572	4008
125	578	4010
126	579	3980
127	580	3954
128	582	3930
129	583	3904
130	585	3882
131	586	3857
132	587	3830
133	588	3804
134	594	3807
135	595	3782
136	596	3760
137	598	3741
138	600	3717
139	601	3693
140	602	3669
141	603	3644
142	608	3644
143	609	3623
144	611	3605
145	612	3585
146	614	3563
147	615	3545
148	617	3527
149	619	3508
150	626	3520
151	628	3505
152	629	3485
153	630	3464
154	631	3443
155	632	3423
156	633	3403
157	639	3406
158	640	3386
159	641	3369
160	643	3351
161	644	3336
162	646	3318
163	647	3299
164	648	3281
165	649	3265
166	655	3267
167	657	3254
168	659	3241
169	660	3224
170	661	3206
171	662	3189
172	663	3171
173	664	3155
174	669	3153
175	670	3137
176	672	3127
177	674	3114
178	675	3098
179	676	3082
180	677	3066
181	678	3050
182	683	3052
183	685	3041
184	687	3028
185	688	3014
186	689	2999
187	691	2984
188	692	2969
189	693	2955
190	694	2941
191	699	2945
192	701	2933
193	702	2919
194	703	2905
195	704	2891
196	706	2877
197	707	2864
198	708	2850
199	709	2836
200	710	2824
201	712	2816
202	714	2803
203	715	2790
